Date : 2024-01-05 20:02:42
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 122 files,  10780 codes, 763 comments, 799 blanks, all 12342 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_daurounds_viewmodel.dart              | Dart         |          0 |        131 |          0 |        131 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_list.dart                       | Dart         |         20 |          0 |          4 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_daucomps/admin_games_viewmodel.dart                  | Dart         |        249 |         49 |         44 |        342 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_edit.dart                          | Dart         |        189 |         11 |         13 |        213 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_list.dart                          | Dart         |         71 |          3 |          5 |         79 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_teams/admin_teams_viewmodel.dart                     | Dart         |        103 |          0 |         30 |        133 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_edit_add.dart                  | Dart         |        294 |         12 |         13 |        319 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_list.dart                      | Dart         |         64 |          1 |          3 |         68 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/admin_tippers/admin_tippers_viewmodel.dart                 | Dart         |        112 |         36 |         30 |        178 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_auth/auth_viewmodel.dart                              | Dart         |        144 |          5 |         20 |        169 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_auth/user_auth.dart                                   | Dart         |        105 |          8 |         10 |        123 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/appstate_viewmodel.dart                          | Dart         |         10 |          1 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/gametips_viewmodel.dart                          | Dart         |        150 |          6 |         30 |        186 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/tips_viewmodel.dart                              | Dart         |        170 |          6 |         30 |        206 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home.dart                                   | Dart         |         66 |          1 |         11 |         78 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_profile.dart                           | Dart         |         38 |          3 |          4 |         45 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips.dart                              | Dart         |        156 |         15 |         12 |        183 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_gameinfo.dart                     | Dart         |         44 |          0 |          4 |         48 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_gamelistitem.dart                 | Dart         |        159 |          1 |          9 |        169 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_livescoring.dart                  | Dart         |         29 |          0 |          3 |         32 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_home_tips_tipchoice.dart                    | Dart         |         93 |          1 |          7 |        101 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_settings_about.dart                         | Dart         |         32 |          0 |          3 |         35 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/pages/user_home/user_settings_adminfunctions.dart                | Dart         |         56 |          0 |          2 |         58 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/firebase_remoteconfig_service.dart                      | Dart         |         14 |          0 |          6 |         20 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_download_service.dart                           | Dart         |         71 |          6 |         10 |         87 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_mock_data_2024_afl_full.dart                    | Dart         |      2,279 |          3 |          2 |      2,284 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/fixture_mock_data_2024_nrl_full.dart                    | Dart         |      2,246 |          3 |          2 |      2,251 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/google_geocoding_api.dart                               | Dart         |         33 |          0 |          8 |         41 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/services/google_sheet_service.dart.dart                          | Dart         |         53 |         31 |         16 |        100 |
| /Users/richardtozer/dev/projects/daufootytipping/lib/theme_data.dart                                                  | Dart         |          5 |          0 |          2 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/flutter/generated_plugin_registrant.cc                         | C++          |         15 |          4 |          5 |         24 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/flutter/generated_plugin_registrant.h                          | C++          |          5 |          5 |          6 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/main.cc                                                        | C++          |          5 |          0 |          2 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/my_application.cc                                              | C++          |         74 |         11 |         20 |        105 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/my_application.h                                               | C++          |          7 |          7 |          5 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Flutter/GeneratedPluginRegistrant.swift                        | Swift        |         34 |          3 |          4 |         41 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/AppDelegate.swift                                       | Swift        |          8 |          0 |          2 |         10 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json        | JSON         |         68 |          0 |          1 |         69 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Base.lproj/MainMenu.xib                                 | XML          |        343 |          0 |          1 |        344 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/MainFlutterWindow.swift                                 | Swift        |         12 |          0 |          4 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/RunnerTests/RunnerTests.swift                                  | Swift        |          7 |          2 |          4 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/firebase_app_id_file.json                                      | JSON         |          7 |          0 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/package_rename_config.yaml                                           | YAML         |         14 |          0 |          3 |         17 |
| /Users/richardtozer/dev/projects/daufootytipping/pubspec.yaml                                                         | YAML         |         70 |         55 |          9 |        134 |
| /Users/richardtozer/dev/projects/daufootytipping/test/game_scoring_test.dart                                          | Dart         |         21 |          2 |          3 |         26 |
| /Users/richardtozer/dev/projects/daufootytipping/web/index.html                                                       | HTML         |         38 |         16 |          6 |         60 |
| /Users/richardtozer/dev/projects/daufootytipping/web/manifest.json                                                    | JSON         |         35 |          0 |          1 |         36 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/flutter/generated_plugin_registrant.cc                       | C++          |         21 |          4 |          5 |         30 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/flutter/generated_plugin_registrant.h                        | C++          |          5 |          5 |          6 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/flutter_window.cpp                                    | C++          |         49 |          7 |         16 |         72 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/flutter_window.h                                      | C++          |         20 |          5 |          9 |         34 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/main.cpp                                              | C++          |         30 |          4 |         10 |         44 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/resource.h                                            | C++          |          9 |          6 |          2 |         17 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/utils.cpp                                             | C++          |         54 |          2 |         10 |         66 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/utils.h                                               | C++          |          8 |          6 |          6 |         20 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/win32_window.cpp                                      | C++          |        210 |         24 |         55 |        289 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/win32_window.h                                        | C++          |         48 |         31 |         24 |        103 |
| Total                                                                                                                 |              |     10,780 |        763 |        799 |     12,342 |
+-----------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
