Date : 2023-12-16 21:26:54
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 107 files,  9960 codes, 696 comments, 655 blanks, all 11311 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/richardtozer/dev/projects/daufootytipping/linux/flutter/generated_plugin_registrant.h                          | C++        |          5 |          5 |          6 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/main.cc                                                        | C++        |          5 |          0 |          2 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/my_application.cc                                              | C++        |         74 |         11 |         20 |        105 |
| /Users/richardtozer/dev/projects/daufootytipping/linux/my_application.h                                               | C++        |          7 |          7 |          5 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Flutter/GeneratedPluginRegistrant.swift                        | Swift      |         26 |          3 |          4 |         33 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/AppDelegate.swift                                       | Swift      |          8 |          0 |          2 |         10 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json        | JSON       |         68 |          0 |          1 |         69 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/Base.lproj/MainMenu.xib                                 | XML        |        343 |          0 |          1 |        344 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/Runner/MainFlutterWindow.swift                                 | Swift      |         12 |          0 |          4 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/RunnerTests/RunnerTests.swift                                  | Swift      |          7 |          2 |          4 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/macos/firebase_app_id_file.json                                      | JSON       |          7 |          0 |          0 |          7 |
| /Users/richardtozer/dev/projects/daufootytipping/pubspec.yaml                                                         | YAML       |         50 |         55 |          8 |        113 |
| /Users/richardtozer/dev/projects/daufootytipping/web/index.html                                                       | HTML       |         38 |         16 |          6 |         60 |
| /Users/richardtozer/dev/projects/daufootytipping/web/manifest.json                                                    | JSON       |         35 |          0 |          1 |         36 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/flutter/generated_plugin_registrant.cc                       | C++        |         21 |          4 |          5 |         30 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/flutter/generated_plugin_registrant.h                        | C++        |          5 |          5 |          6 |         16 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/flutter_window.cpp                                    | C++        |         49 |          7 |         16 |         72 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/flutter_window.h                                      | C++        |         20 |          5 |          9 |         34 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/main.cpp                                              | C++        |         30 |          4 |         10 |         44 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/resource.h                                            | C++        |          9 |          6 |          2 |         17 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/utils.cpp                                             | C++        |         54 |          2 |         10 |         66 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/utils.h                                               | C++        |          8 |          6 |          6 |         20 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/win32_window.cpp                                      | C++        |        210 |         24 |         55 |        289 |
| /Users/richardtozer/dev/projects/daufootytipping/windows/runner/win32_window.h                                        | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                 |            |      9,960 |        696 |        655 |     11,311 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
