"filename", "language", "XML", "Shell Script", "JSON", "YAML", "Dart", "Markdown", "Gradle", "Properties", "HTML", "C++", "JavaScript", "CSS", "Objective-C", "Swift", "Java", "Batch", "PowerShell", "Groovy", "Ruby", "TypeScript", "JSON with Comments", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/main.dart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 147788
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/site.webmanifest", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/.firebase/dau-footy-tipping-f8a42/hosting/version.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.ci.yaml", "YAML", 0, 0, 0, 5362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 418, 5927
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/10_feature.yml", "YAML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/1_activation.yml", "YAML", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/2_bug.yml", "YAML", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 122
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/3_feature_request.yml", "YAML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
